step,loss,category
1000,65.90895080566406,train
1000,-15.432200598344206,eval
2000,40.913780212402344,train
2000,-14.740812504291535,eval
3000,36.98176956176758,train
3000,-16.115397761762143,eval
4000,35.24662399291992,train
4000,-14.725191354192793,eval
5000,35.55710983276367,train
5000,-15.184764777123927,eval
6000,34.66423416137695,train
6000,-16.465255196765064,eval
7000,33.448097229003906,train
7000,-16.64144478421658,eval
8000,33.05855178833008,train
8000,-16.086414794251322,eval
9000,31.771011352539062,train
9000,-16.185319635458292,eval
10000,29.27143096923828,train
10000,-17.276235261186958,eval
11000,28.277896881103516,train
11000,-15.265316308662296,eval
12000,29.744094848632812,train
12000,-15.57282606996596,eval
13000,27.14845848083496,train
13000,-15.454849073663354,eval
14000,27.578889846801758,train
14000,-17.741161238588393,eval
15000,27.08475685119629,train
15000,-14.6053830338642,eval
16000,27.719085693359375,train
16000,-17.73987783640623,eval
17000,27.043737411499023,train
17000,-16.391009132936595,eval
18000,26.953073501586914,train
18000,-14.908482226729394,eval
19000,27.16042709350586,train
19000,-14.737830120697618,eval
20000,26.32794189453125,train
20000,-15.591443959623575,eval
21000,27.165082931518555,train
21000,-17.018307335302232,eval
22000,28.10286521911621,train
22000,-15.35529830623418,eval
23000,27.746952056884766,train
23000,-16.02775902338326,eval
24000,26.751161575317383,train
24000,-15.263248939812183,eval
25000,26.800395965576172,train
25000,-18.711717033945025,eval
26000,27.00889015197754,train
26000,-15.98219523653388,eval
27000,27.319791793823242,train
27000,-16.483779357001186,eval
28000,27.01058578491211,train
28000,-16.423150791972876,eval
29000,26.048635482788086,train
29000,-14.254630096442998,eval
30000,27.102294921875,train
30000,-15.897236619703472,eval
1000,450.0035095214844,train
1000,-18.377066809311508,eval
2000,147.88531494140625,train
2000,-19.29132411777973,eval
3000,96.79121398925781,train
3000,-15.732311067730189,eval
4000,87.14725494384766,train
4000,-15.46702562943101,eval
5000,81.75772094726562,train
5000,-16.72020786255598,eval
6000,84.84546661376953,train
6000,-17.822032391652463,eval
7000,83.3011474609375,train
7000,-17.257588459178805,eval
8000,89.46240997314453,train
8000,-13.538564207963645,eval
9000,80.12870025634766,train
9000,-12.849942208640277,eval
10000,81.87156677246094,train
10000,-14.363574296794832,eval
11000,83.35066986083984,train
11000,-15.951819892972708,eval
12000,90.50859069824219,train
12000,-15.74574603959918,eval
13000,84.10334777832031,train
13000,-16.758356540836395,eval
14000,79.44020080566406,train
14000,-15.394428577274084,eval
15000,86.68112182617188,train
15000,-18.59468857720494,eval
16000,82.85749816894531,train
16000,-17.22972468547523,eval
17000,89.91898345947266,train
17000,-13.51283158659935,eval
18000,85.11951446533203,train
18000,-19.66249485462904,eval
19000,85.11940002441406,train
19000,-17.413741432130337,eval
20000,87.37410736083984,train
20000,-13.59303600396961,eval
21000,88.74592590332031,train
21000,-18.459183699451387,eval
22000,83.39689636230469,train
22000,-16.84875570908189,eval
23000,87.55290985107422,train
23000,-17.49359611198306,eval
24000,88.74910736083984,train
24000,-20.40945985689759,eval
25000,91.43824005126953,train
25000,-12.652327344194054,eval
26000,93.61982727050781,train
26000,-15.13483631759882,eval
27000,88.87899780273438,train
27000,-14.171823127567768,eval
28000,90.64166259765625,train
28000,-16.665120511315763,eval
29000,95.71971893310547,train
29000,-14.030886781960726,eval
30000,92.13606262207031,train
30000,-14.794423511251807,eval
