step,loss,category
1000,100.03949737548828,train
1000,-31.384319756180048,eval
2000,41.83131790161133,train
2000,-36.20671841278672,eval
1000,818.8734130859375,train
1000,-32.71588756851852,eval
2000,122.6908187866211,train
2000,-34.079387379437684,eval
3000,86.93170928955078,train
3000,-30.72437202632427,eval
4000,78.60952758789062,train
4000,-31.405550798028706,eval
5000,88.83777618408203,train
5000,-38.47421215996146,eval
6000,85.12187194824219,train
6000,-42.675519570708275,eval
7000,81.3286361694336,train
7000,-31.174236924946307,eval
8000,86.6061782836914,train
8000,-29.76512534581125,eval
9000,81.61136627197266,train
9000,-26.817654249072074,eval
10000,84.08325958251953,train
10000,-32.35382083430886,eval
11000,85.47628784179688,train
11000,-26.688051638379694,eval
12000,85.74568176269531,train
12000,-29.848597306013108,eval
13000,87.63059997558594,train
13000,-31.43522970788181,eval
14000,82.52653503417969,train
14000,-36.25555322989821,eval
15000,86.3089828491211,train
15000,-38.26659708023071,eval
16000,90.5404052734375,train
16000,-36.152337081730366,eval
17000,87.17501068115234,train
17000,-29.542460184916855,eval
18000,87.90764617919922,train
18000,-34.2211901716888,eval
19000,91.77693176269531,train
19000,-37.67892810478806,eval
20000,90.81755065917969,train
20000,-33.19454096406698,eval
21000,88.716064453125,train
21000,-33.05190737172961,eval
22000,86.74100494384766,train
22000,-33.0735758215189,eval
23000,88.80241394042969,train
23000,-24.78558282852173,eval
24000,86.21356201171875,train
24000,-34.42845120206475,eval
25000,88.8685302734375,train
25000,-31.623857994377612,eval
26000,84.78238677978516,train
26000,-26.186861113086344,eval
27000,100.9007797241211,train
27000,-30.936880484223366,eval
28000,93.3979263305664,train
28000,-34.761499502509835,eval
29000,88.31218719482422,train
29000,-34.68310154080391,eval
