step,loss,category
1000,66.4655990600586,train
1000,-16.09662722572684,eval
2000,39.392765045166016,train
2000,-13.564620632119476,eval
3000,37.123294830322266,train
3000,-15.385396450385452,eval
4000,36.740692138671875,train
4000,-17.240565049648286,eval
5000,37.35749816894531,train
5000,-16.167987641319634,eval
6000,37.725677490234375,train
6000,-15.913885771483184,eval
7000,37.98503112792969,train
7000,-17.487277077138422,eval
8000,38.016117095947266,train
8000,-15.187650273554027,eval
9000,38.101924896240234,train
9000,-16.480417515337468,eval
10000,39.95085525512695,train
10000,-13.575209069624544,eval
11000,39.83026885986328,train
11000,-15.57473039124161,eval
12000,39.10166549682617,train
12000,-14.743291358463466,eval
13000,39.43349075317383,train
13000,-15.502376789227128,eval
14000,40.05815124511719,train
14000,-18.649635049328207,eval
15000,39.420379638671875,train
15000,-17.12862988766283,eval
16000,40.21826934814453,train
16000,-15.622253124788404,eval
17000,39.50327682495117,train
17000,-14.932657862454652,eval
18000,39.6490478515625,train
18000,-14.880882307514549,eval
19000,40.00796890258789,train
19000,-14.842141338810325,eval
20000,39.4660530090332,train
20000,-17.34552040286362,eval
21000,39.13503646850586,train
21000,-14.627301956526935,eval
22000,38.5701789855957,train
22000,-13.835123887658119,eval
23000,38.029869079589844,train
23000,-15.240597262047231,eval
24000,38.186546325683594,train
24000,-13.881693993136286,eval
25000,38.47613525390625,train
25000,-17.043493944779037,eval
26000,38.11403274536133,train
26000,-17.001699186116458,eval
27000,37.89763641357422,train
27000,-16.921664069406688,eval
28000,37.72833251953125,train
28000,-19.906550116091967,eval
29000,38.5203971862793,train
29000,-15.887802417948842,eval
30000,38.56462097167969,train
30000,-14.889137918315829,eval
1000,460.46343994140625,train
1000,-14.478656701371074,eval
2000,154.6973419189453,train
2000,-12.193349576368927,eval
3000,92.86495971679688,train
3000,-15.059895588085055,eval
4000,91.273681640625,train
4000,-12.525598931312562,eval
5000,79.96781158447266,train
5000,-14.78225250057876,eval
6000,81.87189483642578,train
6000,-13.673398021422326,eval
7000,80.56678771972656,train
7000,-14.657968081906438,eval
8000,77.01058197021484,train
8000,-13.843558190762996,eval
9000,81.84947204589844,train
9000,-16.3427048381418,eval
10000,79.39049530029297,train
10000,-12.28795028347522,eval
11000,81.98226165771484,train
11000,-18.380949903652073,eval
12000,77.426513671875,train
12000,-20.904676792025565,eval
13000,78.62464141845703,train
13000,-18.376329015940428,eval
14000,78.41500854492188,train
14000,-15.774746394529938,eval
15000,82.21432495117188,train
15000,-16.491169378906488,eval
16000,80.50279998779297,train
16000,-19.590010070428253,eval
17000,79.33911895751953,train
17000,-16.6635711658746,eval
18000,82.72034454345703,train
18000,-17.999252321571113,eval
19000,80.50706481933594,train
19000,-20.410416348278524,eval
20000,80.44445037841797,train
20000,-14.340202610567212,eval
21000,83.83596801757812,train
21000,-16.00939049720764,eval
22000,83.04116821289062,train
22000,-13.133817117474972,eval
23000,83.06204986572266,train
23000,-14.299484757892788,eval
24000,81.54728698730469,train
24000,-17.443382701277734,eval
25000,82.4704360961914,train
25000,-14.692504452168942,eval
26000,81.53649139404297,train
26000,-15.744223207607865,eval
27000,81.34085083007812,train
27000,-14.902948883920908,eval
28000,83.98379516601562,train
28000,-16.08929822165519,eval
29000,87.96511840820312,train
29000,-15.52266909852624,eval
30000,89.61524200439453,train
30000,-12.821700415387749,eval
